tconst,averageRating,numVotes
tt2301451, 10.0 ," 201,346 "
tt2301455, 9.9 ," 131,594 "
tt2178784, 9.9 ," 112,812 "
tt13857684, 9.9 ," 83,156 "
tt1683088, 9.9 ," 69,758 "
tt17505964, 9.9 ," 57,732 "
tt17594170, 9.9 ," 56,344 "
tt12187040, 9.9 ," 52,345 "
tt10023374, 9.9 ," 48,949 "
tt21151974, 9.9 ," 32,130 "
tt11028174, 9.9 ," 19,122 "
tt1204265, 9.9 ," 13,792 "
tt11294360, 9.9 ," 13,221 "
tt0701989, 9.9 ," 11,085 "
tt3866850, 9.8 ," 105,088 "
tt13605714, 9.8 ," 63,534 "
tt17277218, 9.8 ," 63,107 "
tt13819632, 9.8 ," 62,010 "
tt13052880, 9.8 ," 60,631 "
tt11630828, 9.8 ," 52,769 "
tt2301449, 9.8 ," 51,068 "
tt10034602, 9.8 ," 41,217 "
tt27715317, 9.8 ," 35,459 "
tt19811660, 9.8 ," 26,016 "
tt1000252, 9.8 ," 22,081 "
tt3230908, 9.8 ," 20,609 "
tt17521746, 9.8 ," 20,263 "
tt2669746, 9.8 ," 20,255 "
tt10883092, 9.8 ," 19,854 "
tt1833197, 9.8 ," 16,908 "
tt15423196, 9.8 ," 14,722 "
tt1444421, 9.8 ," 14,544 "
tt1595996, 9.8 ," 13,472 "
tt2060963, 9.8 ," 12,913 "
tt14180486, 9.8 ," 12,709 "
tt1216108, 9.8 ," 10,579 "
tt2140553, 9.7 ," 72,194 "
tt2832378, 9.7 ," 58,056 "
tt3060782, 9.7 ," 57,872 "
tt3060910, 9.7 ," 56,056 "
tt2084342, 9.7 ," 52,026 "
tt2301453, 9.7 ," 50,111 "
tt2301463, 9.7 ," 37,744 "
tt1683086, 9.7 ," 37,608 "
tt12187044, 9.7 ," 36,718 "
tt21357640, 9.7 ," 35,637 "
tt1615553, 9.7 ," 33,939 "
tt12187032, 9.7 ," 30,915 "
tt2993508, 9.7 ," 30,441 "
tt14132418, 9.7 ," 30,190 "
tt10064964, 9.7 ," 25,260 "
tt18953204, 9.7 ," 24,072 "
tt10433100, 9.7 ," 16,075 "
tt1248736, 9.7 ," 15,600 "
tt13424098, 9.7 ," 14,283 "
tt0994365, 9.7 ," 14,121 "
tt0705272, 9.7 ," 13,944 "
tt11079892, 9.7 ," 13,457 "
tt1004798, 9.7 ," 12,739 "
tt0583452, 9.7 ," 12,372 "
tt1626753, 9.7 ," 11,061 "
tt0533466, 9.7 ," 10,535 "
tt3060858, 9.6 ," 50,751 "
tt3060860, 9.6 ," 49,661 "
tt1851398, 9.6 ," 48,476 "
tt1942614, 9.6 ," 39,665 "
tt11172022, 9.6 ," 39,659 "
tt2301445, 9.6 ," 34,671 "
tt2301467, 9.6 ," 34,313 "
tt2301469, 9.6 ," 33,860 "
tt1683085, 9.6 ," 32,290 "
tt14143312, 9.6 ," 31,514 "
tt1615944, 9.6 ," 31,151 "
tt2790174, 9.6 ," 30,444 "
tt3297776, 9.6 ," 29,344 "
tt2948638, 9.6 ," 28,493 "
tt14093766, 9.6 ," 28,239 "
tt14134628, 9.6 ," 26,796 "
tt12557704, 9.6 ," 23,900 "
tt15496376, 9.6 ," 19,294 "
tt21152040, 9.6 ," 18,553 "
tt18856536, 9.6 ," 18,298 "
tt3148020, 9.6 ," 18,268 "
tt15496440, 9.6 ," 17,585 "
tt0583433, 9.6 ," 15,924 "
tt13119450, 9.6 ," 14,084 "
tt0180825, 9.6 ," 12,351 "
tt27647886, 9.6 ," 11,574 "
tt1627712, 9.6 ," 10,595 "
tt1511910, 9.6 ," 10,432 "
tt0184666, 9.6 ," 10,282 "
tt0705958, 9.6 ," 10,014 "
tt0903747, 9.5 ," 2,018,911 "
tt2103188, 9.5 ," 67,029 "
tt2178798, 9.5 ," 40,583 "
tt13907662, 9.5 ," 36,398 "
tt3334704, 9.5 ," 33,557 "
tt1615552, 9.5 ," 30,263 "
tt1683087, 9.5 ," 28,976 "
tt14134634, 9.5 ," 26,879 "
tt12188572, 9.5 ," 26,560 "
tt2790254, 9.5 ," 26,369 "
tt2790196, 9.5 ," 22,835 "
tt10064968, 9.5 ," 21,323 "
tt1540125, 9.5 ," 20,904 "
tt10454734, 9.5 ," 15,112 "
tt3683576, 9.5 ," 13,468 "
tt4006548, 9.5 ," 12,278 "
tt15319556, 9.5 ," 11,940 "
tt0877058, 9.5 ," 11,178 "
tt0208155, 9.5 ," 11,057 "
tt0365498, 9.5 ," 10,933 "
tt3390684, 9.5 ," 10,506 "
tt16747572, 9.5 ," 10,438 "
tt16972222, 9.5 ," 10,248 "
tt0185906, 9.4 ," 491,436 "
tt0795176, 9.4 ," 215,333 "
tt14659486, 9.4 ," 76,047 "
tt3866826, 9.4 ," 46,606 "
tt1851397, 9.4 ," 42,542 "
tt0383385, 9.4 ," 42,424 "
tt1942612, 9.4 ," 40,567 "
tt11171978, 9.4 ," 35,984 "
tt1568322, 9.4 ," 33,154 "
tt2301471, 9.4 ," 32,382 "
tt1479962, 9.4 ," 28,768 "
tt12187042, 9.4 ," 24,213 "
tt3866650, 9.4 ," 23,667 "
tt3895286, 9.4 ," 19,268 "
tt12187284, 9.4 ," 18,277 "
tt12557700, 9.4 ," 17,572 "
tt3174248, 9.4 ," 17,020 "
tt0374692, 9.4 ," 16,951 "
tt1648163, 9.4 ," 16,871 "
tt13847928, 9.4 ," 16,415 "
tt10655692, 9.4 ," 14,912 "
tt10457654, 9.4 ," 14,894 "
tt10454726, 9.4 ," 13,239 "
tt0995839, 9.4 ," 11,950 "
tt1031477, 9.4 ," 11,135 "
tt21152038, 9.4 ," 10,976 "
tt0462423, 9.4 ," 10,935 "
tt23743570, 9.4 ," 10,697 "
tt1205440, 9.4 ," 10,209 "
tt0111161, 9.3 ," 2,782,586 "
tt0306414, 9.3 ," 358,556 "
tt0417299, 9.3 ," 339,503 "
tt12392504, 9.3 ," 150,621 "
tt2395695, 9.3 ," 125,343 "
tt28227737, 9.3 ," 69,199 "
tt15747176, 9.3 ," 55,247 "
tt11198350, 9.3 ," 48,958 "
tt0081846, 9.3 ," 42,571 "
tt2112510, 9.3 ," 36,847 "
tt10783086, 9.3 ," 35,056 "
tt13052856, 9.3 ," 33,300 "
tt1814884, 9.3 ," 32,150 "
tt14551446, 9.3 ," 32,112 "
tt1054728, 9.3 ," 31,717 "
tt13611850, 9.3 ," 31,144 "
tt1232249, 9.3 ," 28,636 "
tt1349460, 9.3 ," 27,088 "
tt1232247, 9.3 ," 26,721 "
tt1683095, 9.3 ," 25,498 "
tt1615556, 9.3 ," 25,362 "
tt2779318, 9.3 ," 18,761 "
tt2253602, 9.3 ," 17,200 "
tt3333846, 9.3 ," 16,666 "
tt0150742, 9.3 ," 16,270 "
tt3097534, 9.3 ," 14,946 "
tt28453133, 9.3 ," 13,552 "
tt10906308, 9.3 ," 12,786 "
tt15041334, 9.3 ," 12,259 "
tt1591786, 9.3 ," 11,751 "
tt3551076, 9.3 ," 10,667 "
tt3599918, 9.3 ," 10,370 "
tt0944947, 9.2 ," 2,191,404 "
tt0068646, 9.2 ," 1,937,492 "
